,state,date,Gst ( goods and service tax ) payers registered,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) return type
0,chandigarh,2021-02-01,12708.0,12710.0,GSTR-3
1,sikkim,2019-12-01,6056.0,7450.0,GSTR-1
2,sikkim,2019-12-01,6486.0,7450.0,GSTR-3
3,sikkim,2020-01-01,2761.0,3908.0,GSTR-1
4,jammu and kashmir,2017-07-01,45971.0,52455.0,GSTR-1
5,jammu and kashmir,2017-07-01,49433.0,52455.0,GSTR-3
6,jammu and kashmir,2017-08-01,19537.0,23864.0,GSTR-1
7,jammu and kashmir,2017-08-01,55649.0,58371.0,GSTR-3
8,jammu and kashmir,2017-09-01,55683.0,62528.0,GSTR-1
9,jammu and kashmir,2017-09-01,59582.0,62528.0,GSTR-3
10,jammu and kashmir,2017-10-01,21128.0,25413.0,GSTR-1
11,sikkim,2020-01-01,6522.0,7448.0,GSTR-3
12,jammu and kashmir,2017-10-01,59060.0,62319.0,GSTR-3
13,jammu and kashmir,2017-11-01,21712.0,26079.0,GSTR-1
14,jammu and kashmir,2017-11-01,60679.0,64586.0,GSTR-3
15,jammu and kashmir,2017-12-01,58760.0,66074.0,GSTR-1
16,jammu and kashmir,2017-12-01,61808.0,66074.0,GSTR-3
17,jammu and kashmir,2018-01-01,22215.0,27196.0,GSTR-1
18,sikkim,2020-02-01,2777.0,3729.0,GSTR-1
19,jammu and kashmir,2018-01-01,63323.0,68002.0,GSTR-3
20,jammu and kashmir,2018-02-01,22495.0,27817.0,GSTR-1
21,jammu and kashmir,2018-02-01,64769.0,69822.0,GSTR-3
22,jammu and kashmir,2018-03-01,62245.0,71741.0,GSTR-1
23,jammu and kashmir,2018-03-01,66358.0,71741.0,GSTR-3
24,jammu and kashmir,2018-04-01,24137.0,37744.0,GSTR-1
25,sikkim,2020-02-01,6563.0,7399.0,GSTR-3
26,jammu and kashmir,2018-04-01,67819.0,72923.0,GSTR-3
27,jammu and kashmir,2018-05-01,24513.0,39310.0,GSTR-1
28,jammu and kashmir,2018-05-01,69462.0,75470.0,GSTR-3
29,jammu and kashmir,2018-06-01,66091.0,77492.0,GSTR-1
30,jammu and kashmir,2018-06-01,70543.0,77492.0,GSTR-3
31,jammu and kashmir,2018-07-01,25082.0,40446.0,GSTR-1
32,sikkim,2020-03-01,6154.0,7508.0,GSTR-1
33,jammu and kashmir,2018-07-01,71772.0,78995.0,GSTR-3
34,jammu and kashmir,2018-08-01,25272.0,39808.0,GSTR-1
35,jammu and kashmir,2018-08-01,72839.0,80214.0,GSTR-3
36,jammu and kashmir,2018-09-01,68665.0,81069.0,GSTR-1
37,jammu and kashmir,2018-09-01,73672.0,81069.0,GSTR-3
38,jammu and kashmir,2018-10-01,25719.0,39392.0,GSTR-1
39,sikkim,2020-03-01,6647.0,7508.0,GSTR-3
40,jammu and kashmir,2018-10-01,74621.0,82347.0,GSTR-3
41,jammu and kashmir,2018-11-01,25787.0,39302.0,GSTR-1
42,jammu and kashmir,2018-11-01,74789.0,83494.0,GSTR-3
43,jammu and kashmir,2018-12-01,70259.0,84692.0,GSTR-1
44,jammu and kashmir,2018-12-01,75639.0,84692.0,GSTR-3
45,jammu and kashmir,2019-01-01,26176.0,38866.0,GSTR-1
46,sikkim,2020-04-01,2658.0,7488.0,GSTR-1
47,jammu and kashmir,2019-01-01,76742.0,86258.0,GSTR-3
48,jammu and kashmir,2019-02-01,26208.0,38756.0,GSTR-1
49,jammu and kashmir,2019-02-01,77510.0,87367.0,GSTR-3
50,jammu and kashmir,2019-03-01,71318.0,88878.0,GSTR-1
51,jammu and kashmir,2019-03-01,78439.0,88878.0,GSTR-3
52,jammu and kashmir,2019-04-01,27085.0,48072.0,GSTR-1
53,sikkim,2020-04-01,6593.0,7507.0,GSTR-3
54,jammu and kashmir,2019-04-01,78314.0,89187.0,GSTR-3
55,jammu and kashmir,2019-05-01,27207.0,46923.0,GSTR-1
56,jammu and kashmir,2019-05-01,79074.0,90152.0,GSTR-3
57,jammu and kashmir,2019-06-01,73078.0,90874.0,GSTR-1
58,jammu and kashmir,2019-06-01,79579.0,90874.0,GSTR-3
59,jammu and kashmir,2019-07-01,27097.0,43438.0,GSTR-1
60,sikkim,2020-05-01,2676.0,6492.0,GSTR-1
61,jammu and kashmir,2019-07-01,79390.0,91798.0,GSTR-3
62,jammu and kashmir,2019-08-01,27091.0,43229.0,GSTR-1
63,jammu and kashmir,2019-08-01,79417.0,92245.0,GSTR-3
64,jammu and kashmir,2019-09-01,72588.0,92462.0,GSTR-1
65,jammu and kashmir,2019-09-01,79589.0,92462.0,GSTR-3
66,jammu and kashmir,2019-10-01,27203.0,42646.0,GSTR-1
67,sikkim,2020-05-01,6602.0,7513.0,GSTR-3
68,jammu and kashmir,2019-10-01,79935.0,92639.0,GSTR-3
69,jammu and kashmir,2019-11-01,27337.0,41914.0,GSTR-1
70,jammu and kashmir,2019-11-01,80273.0,92563.0,GSTR-3
71,jammu and kashmir,2019-12-01,72869.0,92194.0,GSTR-1
72,jammu and kashmir,2019-12-01,80812.0,92194.0,GSTR-3
73,jammu and kashmir,2020-01-01,27162.0,39353.0,GSTR-1
74,sikkim,2020-06-01,6233.0,7574.0,GSTR-1
75,jammu and kashmir,2020-01-01,79700.0,91657.0,GSTR-3
76,jammu and kashmir,2020-02-01,27094.0,39314.0,GSTR-1
77,jammu and kashmir,2020-02-01,79576.0,91600.0,GSTR-3
78,jammu and kashmir,2020-03-01,70200.0,85741.0,GSTR-1
79,jammu and kashmir,2020-03-01,79965.0,85741.0,GSTR-3
80,jammu and kashmir,2020-04-01,27378.0,83180.0,GSTR-1
81,jammu and kashmir,2020-04-01,79092.0,83362.0,GSTR-3
82,jammu and kashmir,2020-05-01,27414.0,76769.0,GSTR-1
83,jammu and kashmir,2020-05-01,79064.0,83081.0,GSTR-3
84,jammu and kashmir,2020-06-01,72035.0,83835.0,GSTR-1
85,jammu and kashmir,2020-06-01,80113.0,83835.0,GSTR-3
86,jammu and kashmir,2020-07-01,28008.0,48665.0,GSTR-1
87,sikkim,2020-06-01,6643.0,7574.0,GSTR-3
88,jammu and kashmir,2020-07-01,81156.0,86377.0,GSTR-3
89,jammu and kashmir,2020-08-01,28218.0,46482.0,GSTR-1
90,jammu and kashmir,2020-08-01,81796.0,87783.0,GSTR-3
91,jammu and kashmir,2020-09-01,73368.0,88382.0,GSTR-1
92,jammu and kashmir,2020-09-01,82139.0,88382.0,GSTR-3
93,jammu and kashmir,2020-10-01,28745.0,40367.0,GSTR-1
94,sikkim,2020-07-01,2701.0,4791.0,GSTR-1
95,jammu and kashmir,2020-10-01,82595.0,88352.0,GSTR-3
96,jammu and kashmir,2020-11-01,29026.0,37461.0,GSTR-1
97,jammu and kashmir,2020-11-01,82983.0,86447.0,GSTR-3
98,jammu and kashmir,2020-12-01,74594.0,84627.0,GSTR-1
99,jammu and kashmir,2020-12-01,83455.0,84627.0,GSTR-3
100,jammu and kashmir,2021-01-01,38892.0,45594.0,GSTR-1
101,jammu and kashmir,2021-01-01,44271.0,45570.0,GSTR-3
102,jammu and kashmir,2021-02-01,39647.0,44931.0,GSTR-1
103,jammu and kashmir,2021-02-01,45176.0,44854.0,GSTR-3
104,jammu and kashmir,2021-03-01,77196.0,84140.0,GSTR-1
105,jammu and kashmir,2021-03-01,85588.0,84140.0,GSTR-3
106,jammu and kashmir,2021-04-01,50654.0,54507.0,GSTR-1
107,jammu and kashmir,2021-04-01,55614.0,54507.0,GSTR-3
108,jammu and kashmir,2021-05-01,50859.0,53973.0,GSTR-1
109,jammu and kashmir,2021-05-01,56026.0,53973.0,GSTR-3
110,jammu and kashmir,2021-06-01,80149.0,85686.0,GSTR-1
111,jammu and kashmir,2021-06-01,87867.0,85686.0,GSTR-3
112,jammu and kashmir,2021-07-01,53054.0,56418.0,GSTR-1
113,sikkim,2020-07-01,6683.0,7650.0,GSTR-3
114,jammu and kashmir,2021-07-01,58085.0,56418.0,GSTR-3
115,jammu and kashmir,2021-08-01,54815.0,59030.0,GSTR-1
116,jammu and kashmir,2021-08-01,60535.0,59030.0,GSTR-3
117,jammu and kashmir,2021-09-01,85406.0,93037.0,GSTR-1
118,jammu and kashmir,2021-09-01,94125.0,93037.0,GSTR-3
119,jammu and kashmir,2021-10-01,55591.0,60457.0,GSTR-1
120,jammu and kashmir,2021-10-01,61164.0,60457.0,GSTR-3
121,jammu and kashmir,2021-11-01,57219.0,62407.0,GSTR-1
122,jammu and kashmir,2021-11-01,62902.0,62407.0,GSTR-3
123,jammu and kashmir,2021-12-01,90042.0,99346.0,GSTR-1
124,jammu and kashmir,2021-12-01,99285.0,99346.0,GSTR-3
125,jammu and kashmir,2022-01-01,57644.0,63719.0,GSTR-1
126,jammu and kashmir,2022-01-01,63583.0,63719.0,GSTR-3
127,jammu and kashmir,2022-02-01,58285.0,65133.0,GSTR-1
128,jammu and kashmir,2022-02-01,64968.0,65133.0,GSTR-3
129,jammu and kashmir,2022-03-01,89967.0,104274.0,GSTR-1
130,jammu and kashmir,2022-03-01,101533.0,104274.0,GSTR-3
131,jammu and kashmir,2022-04-01,56668.0,66338.0,GSTR-1
132,jammu and kashmir,2022-04-01,63388.0,66338.0,GSTR-3
133,jammu and kashmir,2022-05-01,55029.0,68361.0,GSTR-1
134,jammu and kashmir,2022-05-01,61961.0,68361.0,GSTR-3
135,himachal pradesh,2017-07-01,48621.0,53013.0,GSTR-1
136,himachal pradesh,2017-07-01,51122.0,53013.0,GSTR-3
137,himachal pradesh,2017-08-01,17434.0,22018.0,GSTR-1
138,himachal pradesh,2017-08-01,55779.0,58745.0,GSTR-3
139,himachal pradesh,2017-09-01,56378.0,61691.0,GSTR-1
140,himachal pradesh,2017-09-01,58975.0,61691.0,GSTR-3
141,himachal pradesh,2017-10-01,17968.0,21474.0,GSTR-1
142,himachal pradesh,2017-10-01,55777.0,58791.0,GSTR-3
143,himachal pradesh,2017-11-01,18265.0,21456.0,GSTR-1
144,himachal pradesh,2017-11-01,56417.0,59931.0,GSTR-3
145,sikkim,2020-08-01,2707.0,4633.0,GSTR-1
146,himachal pradesh,2017-12-01,56050.0,60956.0,GSTR-1
147,himachal pradesh,2017-12-01,57155.0,60956.0,GSTR-3
148,himachal pradesh,2018-01-01,18520.0,22180.0,GSTR-1
149,himachal pradesh,2018-01-01,58844.0,63084.0,GSTR-3
150,himachal pradesh,2018-02-01,18742.0,22607.0,GSTR-1
151,himachal pradesh,2018-02-01,60665.0,65105.0,GSTR-3
152,sikkim,2020-08-01,6702.0,7695.0,GSTR-3
153,himachal pradesh,2018-03-01,61499.0,67470.0,GSTR-1
154,himachal pradesh,2018-03-01,62863.0,67470.0,GSTR-3
155,himachal pradesh,2018-04-01,17815.0,27825.0,GSTR-1
156,himachal pradesh,2018-04-01,65261.0,69050.0,GSTR-3
157,himachal pradesh,2018-05-01,18159.0,30075.0,GSTR-1
158,himachal pradesh,2018-05-01,67382.0,72862.0,GSTR-3
159,sikkim,2020-09-01,6263.0,7706.0,GSTR-1
160,himachal pradesh,2018-06-01,67081.0,75206.0,GSTR-1
161,himachal pradesh,2018-06-01,68793.0,75206.0,GSTR-3
162,himachal pradesh,2018-07-01,18637.0,31646.0,GSTR-1
163,himachal pradesh,2018-07-01,70278.0,76985.0,GSTR-3
164,himachal pradesh,2018-08-01,18739.0,30728.0,GSTR-1
165,himachal pradesh,2018-08-01,71352.0,78385.0,GSTR-3
166,sikkim,2020-09-01,6701.0,7706.0,GSTR-3
167,himachal pradesh,2018-09-01,70283.0,79070.0,GSTR-1
168,himachal pradesh,2018-09-01,72184.0,79070.0,GSTR-3
169,himachal pradesh,2018-10-01,19089.0,30015.0,GSTR-1
170,himachal pradesh,2018-10-01,73387.0,80106.0,GSTR-3
171,himachal pradesh,2018-11-01,19210.0,29849.0,GSTR-1
172,himachal pradesh,2018-11-01,73632.0,81318.0,GSTR-3
173,sikkim,2020-10-01,2729.0,4195.0,GSTR-1
174,himachal pradesh,2018-12-01,72979.0,82700.0,GSTR-1
175,himachal pradesh,2018-12-01,74672.0,82700.0,GSTR-3
176,himachal pradesh,2019-01-01,19434.0,29226.0,GSTR-1
177,himachal pradesh,2019-01-01,75648.0,84114.0,GSTR-3
178,himachal pradesh,2019-02-01,19481.0,28879.0,GSTR-1
179,himachal pradesh,2019-02-01,76538.0,85293.0,GSTR-3
180,sikkim,2020-10-01,6727.0,7795.0,GSTR-3
181,himachal pradesh,2019-03-01,75117.0,86666.0,GSTR-1
182,himachal pradesh,2019-03-01,77433.0,86666.0,GSTR-3
183,himachal pradesh,2019-04-01,18027.0,37394.0,GSTR-1
184,himachal pradesh,2019-04-01,76724.0,87028.0,GSTR-3
185,himachal pradesh,2019-05-01,18049.0,35683.0,GSTR-1
186,himachal pradesh,2019-05-01,77221.0,87431.0,GSTR-3
187,sikkim,2020-11-01,2792.0,4132.0,GSTR-1
188,himachal pradesh,2019-06-01,75950.0,88064.0,GSTR-1
189,himachal pradesh,2019-06-01,77738.0,88064.0,GSTR-3
190,himachal pradesh,2019-07-01,18331.0,32605.0,GSTR-1
191,himachal pradesh,2019-07-01,78673.0,89185.0,GSTR-3
192,himachal pradesh,2019-08-01,18425.0,31156.0,GSTR-1
193,himachal pradesh,2019-08-01,79178.0,89648.0,GSTR-3
194,sikkim,2020-11-01,6782.0,7846.0,GSTR-3
195,himachal pradesh,2019-09-01,77958.0,89912.0,GSTR-1
196,himachal pradesh,2019-09-01,79833.0,89912.0,GSTR-3
197,himachal pradesh,2019-10-01,18685.0,29485.0,GSTR-1
198,himachal pradesh,2019-10-01,80254.0,90006.0,GSTR-3
199,himachal pradesh,2019-11-01,18914.0,28002.0,GSTR-1
200,himachal pradesh,2019-11-01,80527.0,89632.0,GSTR-3
201,sikkim,2020-12-01,6437.0,7893.0,GSTR-1
202,himachal pradesh,2019-12-01,78693.0,88745.0,GSTR-1
203,himachal pradesh,2019-12-01,80920.0,88745.0,GSTR-3
204,himachal pradesh,2020-01-01,18979.0,24254.0,GSTR-1
205,himachal pradesh,2020-01-01,81213.0,86096.0,GSTR-3
206,himachal pradesh,2020-02-01,18894.0,23136.0,GSTR-1
207,himachal pradesh,2020-02-01,81725.0,85952.0,GSTR-3
208,sikkim,2020-12-01,6817.0,7893.0,GSTR-3
209,himachal pradesh,2020-03-01,78455.0,86286.0,GSTR-1
210,himachal pradesh,2020-03-01,82157.0,86286.0,GSTR-3
211,himachal pradesh,2020-04-01,20250.0,85603.0,GSTR-1
212,himachal pradesh,2020-04-01,80836.0,85900.0,GSTR-3
213,himachal pradesh,2020-05-01,20339.0,75572.0,GSTR-1
214,himachal pradesh,2020-05-01,80841.0,85444.0,GSTR-3
215,himachal pradesh,2020-06-01,78349.0,85305.0,GSTR-1
216,himachal pradesh,2020-06-01,81482.0,85305.0,GSTR-3
217,himachal pradesh,2020-07-01,20747.0,34872.0,GSTR-1
218,himachal pradesh,2020-07-01,82501.0,86772.0,GSTR-3
219,himachal pradesh,2020-08-01,20919.0,33395.0,GSTR-1
220,himachal pradesh,2020-08-01,83530.0,88104.0,GSTR-3
221,himachal pradesh,2020-09-01,81293.0,89380.0,GSTR-1
222,sikkim,2021-01-01,3894.0,5263.0,GSTR-1
223,himachal pradesh,2020-09-01,84364.0,89380.0,GSTR-3
224,himachal pradesh,2020-10-01,21434.0,29840.0,GSTR-1
225,himachal pradesh,2020-10-01,85289.0,90577.0,GSTR-3
226,himachal pradesh,2020-11-01,21672.0,28848.0,GSTR-1
227,himachal pradesh,2020-11-01,86032.0,90998.0,GSTR-3
228,himachal pradesh,2020-12-01,83852.0,91034.0,GSTR-1
229,sikkim,2021-01-01,4163.0,5264.0,GSTR-3
230,himachal pradesh,2020-12-01,86707.0,91034.0,GSTR-3
231,himachal pradesh,2021-01-01,34544.0,40247.0,GSTR-1
232,himachal pradesh,2021-01-01,36368.0,40225.0,GSTR-3
233,himachal pradesh,2021-02-01,35781.0,40011.0,GSTR-1
234,himachal pradesh,2021-02-01,37551.0,39963.0,GSTR-3
235,himachal pradesh,2021-03-01,86695.0,90790.0,GSTR-1
236,himachal pradesh,2021-03-01,88992.0,90790.0,GSTR-3
237,himachal pradesh,2021-04-01,41393.0,44420.0,GSTR-1
238,himachal pradesh,2021-04-01,42643.0,44420.0,GSTR-3
239,himachal pradesh,2021-05-01,41641.0,44517.0,GSTR-1
240,himachal pradesh,2021-05-01,42747.0,44517.0,GSTR-3
241,himachal pradesh,2021-06-01,87411.0,92010.0,GSTR-1
242,himachal pradesh,2021-06-01,89430.0,92010.0,GSTR-3
243,himachal pradesh,2021-07-01,40818.0,44191.0,GSTR-1
244,himachal pradesh,2021-07-01,41897.0,44191.0,GSTR-3
245,himachal pradesh,2021-08-01,41718.0,44492.0,GSTR-1
246,himachal pradesh,2021-08-01,42881.0,44492.0,GSTR-3
247,himachal pradesh,2021-09-01,89430.0,93894.0,GSTR-1
248,himachal pradesh,2021-09-01,91556.0,93894.0,GSTR-3
249,himachal pradesh,2021-10-01,40641.0,43295.0,GSTR-1
250,himachal pradesh,2021-10-01,41680.0,43295.0,GSTR-3
251,himachal pradesh,2021-11-01,41428.0,43932.0,GSTR-1
252,himachal pradesh,2021-11-01,42325.0,43932.0,GSTR-3
253,himachal pradesh,2021-12-01,91231.0,95802.0,GSTR-1
254,himachal pradesh,2021-12-01,92747.0,95802.0,GSTR-3
255,sikkim,2021-02-01,4014.0,5091.0,GSTR-1
256,himachal pradesh,2022-01-01,40715.0,43808.0,GSTR-1
257,himachal pradesh,2022-01-01,41677.0,43808.0,GSTR-3
258,himachal pradesh,2022-02-01,41307.0,44164.0,GSTR-1
259,himachal pradesh,2022-02-01,42114.0,44164.0,GSTR-3
260,himachal pradesh,2022-03-01,90520.0,97423.0,GSTR-1
261,himachal pradesh,2022-03-01,91982.0,97423.0,GSTR-3
262,sikkim,2021-02-01,4281.0,5086.0,GSTR-3
263,himachal pradesh,2022-04-01,40164.0,44324.0,GSTR-1
264,himachal pradesh,2022-04-01,40784.0,44324.0,GSTR-3
265,himachal pradesh,2022-05-01,39581.0,45199.0,GSTR-1
266,himachal pradesh,2022-05-01,39593.0,45199.0,GSTR-3
267,punjab,2017-07-01,207027.0,220786.0,GSTR-1
268,punjab,2017-07-01,213071.0,220786.0,GSTR-3
269,punjab,2017-08-01,72440.0,86189.0,GSTR-1
270,punjab,2017-08-01,232202.0,239311.0,GSTR-3
271,punjab,2017-09-01,234984.0,247374.0,GSTR-1
272,punjab,2017-09-01,242980.0,247374.0,GSTR-3
273,punjab,2017-10-01,75273.0,84164.0,GSTR-1
274,punjab,2017-10-01,241133.0,247069.0,GSTR-3
275,punjab,2017-11-01,76189.0,84375.0,GSTR-1
276,chandigarh,2017-07-01,20037.0,20632.0,GSTR-1
277,punjab,2017-11-01,243519.0,250968.0,GSTR-3
278,punjab,2017-12-01,243498.0,254559.0,GSTR-1
279,punjab,2017-12-01,245915.0,254559.0,GSTR-3
280,punjab,2018-01-01,76650.0,85473.0,GSTR-1
281,punjab,2018-01-01,248433.0,257888.0,GSTR-3
282,punjab,2018-02-01,76957.0,86098.0,GSTR-1
283,chandigarh,2017-07-01,20678.0,20632.0,GSTR-3
284,punjab,2018-02-01,251800.0,261849.0,GSTR-3
285,punjab,2018-03-01,251369.0,264808.0,GSTR-1
286,punjab,2018-03-01,254500.0,264808.0,GSTR-3
287,punjab,2018-04-01,75096.0,99334.0,GSTR-1
288,punjab,2018-04-01,257296.0,272274.0,GSTR-3
289,punjab,2018-05-01,75709.0,103832.0,GSTR-1
290,punjab,2018-05-01,261205.0,280783.0,GSTR-3
291,punjab,2018-06-01,260528.0,284602.0,GSTR-1
292,punjab,2018-06-01,264059.0,284602.0,GSTR-3
293,punjab,2018-07-01,76327.0,104604.0,GSTR-1
294,punjab,2018-07-01,266663.0,287287.0,GSTR-3
295,punjab,2018-08-01,76638.0,102000.0,GSTR-1
296,punjab,2018-08-01,269117.0,289432.0,GSTR-3
297,chandigarh,2017-08-01,8320.0,9277.0,GSTR-1
298,punjab,2018-09-01,267006.0,289976.0,GSTR-1
299,punjab,2018-09-01,270799.0,289976.0,GSTR-3
300,punjab,2018-10-01,77190.0,99720.0,GSTR-1
301,punjab,2018-10-01,273056.0,291913.0,GSTR-3
302,punjab,2018-11-01,77350.0,98397.0,GSTR-1
303,punjab,2018-11-01,273407.0,293460.0,GSTR-3
304,punjab,2018-12-01,272514.0,294776.0,GSTR-1
305,punjab,2018-12-01,275391.0,294776.0,GSTR-3
306,punjab,2019-01-01,77923.0,96791.0,GSTR-1
307,punjab,2019-01-01,277049.0,297867.0,GSTR-3
308,punjab,2019-02-01,77958.0,95685.0,GSTR-1
309,punjab,2019-02-01,278682.0,300089.0,GSTR-3
310,punjab,2019-03-01,276232.0,302783.0,GSTR-1
311,punjab,2019-03-01,280667.0,302783.0,GSTR-3
312,punjab,2019-04-01,80212.0,123462.0,GSTR-1
313,punjab,2019-04-01,279866.0,305087.0,GSTR-3
314,punjab,2019-05-01,80288.0,119967.0,GSTR-1
315,punjab,2019-05-01,281509.0,307464.0,GSTR-3
316,chandigarh,2018-07-01,8650.0,11708.0,GSTR-1
317,punjab,2019-06-01,279046.0,308875.0,GSTR-1
318,punjab,2019-06-01,282383.0,308875.0,GSTR-3
319,punjab,2019-07-01,80600.0,109710.0,GSTR-1
320,punjab,2019-07-01,283736.0,310093.0,GSTR-3
321,punjab,2019-08-01,80794.0,106470.0,GSTR-1
322,punjab,2019-08-01,284765.0,310860.0,GSTR-3
323,chandigarh,2018-11-01,8733.0,10616.0,GSTR-1
324,punjab,2019-09-01,282813.0,311089.0,GSTR-1
325,punjab,2019-09-01,286135.0,311089.0,GSTR-3
326,punjab,2019-10-01,81185.0,101504.0,GSTR-1
327,punjab,2019-10-01,287400.0,309832.0,GSTR-3
328,punjab,2019-11-01,81526.0,97659.0,GSTR-1
329,punjab,2019-11-01,288361.0,309106.0,GSTR-3
330,punjab,2019-12-01,285853.0,308579.0,GSTR-1
331,punjab,2019-12-01,290074.0,308579.0,GSTR-3
332,punjab,2020-01-01,81737.0,95635.0,GSTR-1
333,punjab,2020-01-01,291595.0,309304.0,GSTR-3
334,punjab,2020-02-01,81794.0,94540.0,GSTR-1
335,punjab,2020-02-01,292942.0,310694.0,GSTR-3
336,punjab,2020-03-01,286157.0,312194.0,GSTR-1
337,punjab,2020-03-01,294410.0,312194.0,GSTR-3
338,punjab,2020-04-01,87515.0,311538.0,GSTR-1
339,punjab,2020-04-01,291490.0,312045.0,GSTR-3
340,punjab,2020-05-01,87753.0,286301.0,GSTR-1
341,punjab,2020-05-01,291401.0,311421.0,GSTR-3
342,chandigarh,2019-10-01,8898.0,10185.0,GSTR-1
343,punjab,2020-06-01,285905.0,312776.0,GSTR-1
344,punjab,2020-06-01,292387.0,312776.0,GSTR-3
345,punjab,2020-07-01,88811.0,125200.0,GSTR-1
346,punjab,2020-07-01,295098.0,313307.0,GSTR-3
347,punjab,2020-08-01,89153.0,120831.0,GSTR-1
348,punjab,2020-08-01,297386.0,316396.0,GSTR-3
349,chandigarh,2020-02-01,8935.0,9666.0,GSTR-1
350,punjab,2020-09-01,292452.0,318929.0,GSTR-1
351,punjab,2020-09-01,299108.0,318929.0,GSTR-3
352,punjab,2020-10-01,89754.0,113974.0,GSTR-1
353,punjab,2020-10-01,301126.0,321958.0,GSTR-3
354,punjab,2020-11-01,90250.0,111535.0,GSTR-1
355,punjab,2020-11-01,302735.0,323060.0,GSTR-3
356,punjab,2020-12-01,298805.0,323550.0,GSTR-1
357,punjab,2020-12-01,304232.0,323550.0,GSTR-3
358,punjab,2021-01-01,125866.0,144846.0,GSTR-1
359,punjab,2021-01-01,130170.0,144815.0,GSTR-3
360,punjab,2021-02-01,128526.0,144289.0,GSTR-1
361,punjab,2021-02-01,132772.0,144139.0,GSTR-3
362,punjab,2021-03-01,303104.0,318519.0,GSTR-1
363,punjab,2021-03-01,308087.0,318519.0,GSTR-3
364,punjab,2021-04-01,147870.0,160461.0,GSTR-1
365,punjab,2021-04-01,150532.0,160461.0,GSTR-3
366,punjab,2021-05-01,149273.0,161190.0,GSTR-1
367,punjab,2021-05-01,151869.0,161190.0,GSTR-3
368,chandigarh,2021-01-01,12233.0,12935.0,GSTR-1
369,punjab,2021-06-01,305469.0,320319.0,GSTR-1
370,punjab,2021-06-01,309595.0,320319.0,GSTR-3
371,punjab,2021-07-01,147938.0,159828.0,GSTR-1
372,punjab,2021-07-01,150154.0,159828.0,GSTR-3
373,punjab,2021-08-01,150546.0,162180.0,GSTR-1
374,punjab,2021-08-01,153022.0,162180.0,GSTR-3
375,chandigarh,2021-01-01,12580.0,12937.0,GSTR-3
376,punjab,2021-09-01,309647.0,327297.0,GSTR-1
377,punjab,2021-09-01,314265.0,327297.0,GSTR-3
378,punjab,2021-10-01,148183.0,160729.0,GSTR-1
379,punjab,2021-10-01,150454.0,160729.0,GSTR-3
380,punjab,2021-11-01,150125.0,162572.0,GSTR-1
381,punjab,2021-11-01,152245.0,162572.0,GSTR-3
382,punjab,2021-12-01,312097.0,333129.0,GSTR-1
383,punjab,2021-12-01,317144.0,333129.0,GSTR-3
384,punjab,2022-01-01,148625.0,161987.0,GSTR-1
385,punjab,2022-01-01,150687.0,161987.0,GSTR-3
386,punjab,2022-02-01,150169.0,163270.0,GSTR-1
387,punjab,2022-02-01,152257.0,163270.0,GSTR-3
388,punjab,2022-03-01,310667.0,336608.0,GSTR-1
389,punjab,2022-03-01,315311.0,336608.0,GSTR-3
390,punjab,2022-04-01,148422.0,164856.0,GSTR-1
391,punjab,2022-04-01,150026.0,164856.0,GSTR-3
392,punjab,2022-05-01,148162.0,167213.0,GSTR-1
393,punjab,2022-05-01,147867.0,167213.0,GSTR-3
394,chandigarh,2021-02-01,12376.0,12728.0,GSTR-1
395,chandigarh,2017-08-01,22273.0,22318.0,GSTR-3
396,chandigarh,2017-09-01,22349.0,23418.0,GSTR-1
397,chandigarh,2017-09-01,23302.0,23418.0,GSTR-3
398,chandigarh,2017-10-01,8616.0,9465.0,GSTR-1
399,chandigarh,2017-10-01,23138.0,23532.0,GSTR-3
400,chandigarh,2017-11-01,8724.0,9528.0,GSTR-1
401,chandigarh,2017-11-01,23249.0,23908.0,GSTR-3
402,chandigarh,2017-12-01,23137.0,24261.0,GSTR-1
403,chandigarh,2017-12-01,23416.0,24261.0,GSTR-3
404,chandigarh,2018-01-01,8803.0,9745.0,GSTR-1
405,chandigarh,2018-01-01,23621.0,24572.0,GSTR-3
406,chandigarh,2018-02-01,8852.0,9830.0,GSTR-1
407,chandigarh,2018-02-01,23963.0,24962.0,GSTR-3
408,chandigarh,2018-03-01,23882.0,25208.0,GSTR-1
409,chandigarh,2018-03-01,24211.0,25208.0,GSTR-3
410,chandigarh,2018-04-01,8490.0,11692.0,GSTR-1
411,chandigarh,2018-04-01,24322.0,26258.0,GSTR-3
412,chandigarh,2018-05-01,8550.0,12089.0,GSTR-1
413,chandigarh,2018-05-01,24700.0,27036.0,GSTR-3
414,chandigarh,2018-06-01,24551.0,27243.0,GSTR-1
415,chandigarh,2018-06-01,24971.0,27243.0,GSTR-3
416,chandigarh,2018-07-01,25130.0,27105.0,GSTR-3
417,chandigarh,2018-08-01,8660.0,11118.0,GSTR-1
418,chandigarh,2018-08-01,25275.0,27027.0,GSTR-3
419,chandigarh,2018-09-01,24999.0,27051.0,GSTR-1
420,chandigarh,2018-09-01,25433.0,27051.0,GSTR-3
421,chandigarh,2018-10-01,8715.0,10825.0,GSTR-1
422,chandigarh,2018-10-01,25687.0,27070.0,GSTR-3
423,chandigarh,2018-11-01,25655.0,27088.0,GSTR-3
424,chandigarh,2018-12-01,25481.0,27347.0,GSTR-1
