,State,Payer_Registered_For_GST,Payer_Eligible_For_GST,Start_Date,End_Date
74,Jammu And Kashmir,60901.45833333333,74969.66666666667,2019-04-01,2020-03-01
75,Jammu And Kashmir,60497.875,71301.79166666667,2020-04-01,2021-03-01
76,Jammu And Kashmir,68723.83333333333,71498.91666666667,2021-04-01,2022-03-01
77,Jammu And Kashmir,59261.5,67349.5,2022-04-01,2023-03-01
78,Jharkhand,80183.66666666666,87618.5,2017-04-01,2018-03-01
79,Jharkhand,94470.91666666666,111577.91666666667,2018-04-01,2019-03-01
80,Jharkhand,104893.41666666666,123493.58333333333,2019-04-01,2020-03-01
81,Jharkhand,110547.66666666667,128818.58333333333,2020-04-01,2021-03-01
82,Jharkhand,120251.5,129942.58333333333,2021-04-01,2022-03-01
83,Jharkhand,104420.25,120948.5,2022-04-01,2023-03-01
84,Karnataka,452060.77777777775,488924.5,2017-04-01,2018-03-01
85,Karnataka,503750.0416666666,600681.5833333334,2018-04-01,2019-03-01
86,Karnataka,558904.1666666666,631887.5833333334,2019-04-01,2020-03-01
87,Karnataka,586897.5416666666,675773.125,2020-04-01,2021-03-01
88,Karnataka,627320.9583333333,676139.9166666666,2021-04-01,2022-03-01
89,Karnataka,568330.25,653338.0,2022-04-01,2023-03-01
90,Kerala,197681.3888888889,204312.5,2017-04-01,2018-03-01
91,Kerala,216265.25,240427.79166666666,2018-04-01,2019-03-01
92,Kerala,231900.7916666667,262240.125,2019-04-01,2020-03-01
93,Kerala,248010.8333333333,282338.4583333333,2020-04-01,2021-03-01
94,Kerala,264867.5,282784.8333333333,2021-04-01,2022-03-01
95,Kerala,240051.5,274423.0,2022-04-01,2023-03-01
96,Ladakh,0.0,0.0,2017-04-01,2018-03-01
97,Ladakh,,,2018-04-01,2019-03-01
98,Ladakh,606.5999999999999,347.42857142857144,2019-04-01,2020-03-01
99,Ladakh,2330.041666666667,2820.75,2020-04-01,2021-03-01
100,Ladakh,2753.958333333333,3134.3333333333335,2021-04-01,2022-03-01
101,Ladakh,1847.75,2341.0,2022-04-01,2023-03-01
102,Lakshadweep,131.66666666666669,214.0,2017-04-01,2018-03-01
103,Lakshadweep,136.375,236.70833333333334,2018-04-01,2019-03-01
104,Lakshadweep,147.45833333333334,216.625,2019-04-01,2020-03-01
105,Lakshadweep,180.25,257.5,2020-04-01,2021-03-01
106,Lakshadweep,174.41666666666669,201.58333333333334,2021-04-01,2022-03-01
107,Lakshadweep,139.5,177.0,2022-04-01,2023-03-01
108,Madhya Pradesh,216275.61111111112,232990.33333333334,2017-04-01,2018-03-01
109,Madhya Pradesh,235158.04166666666,265049.1666666667,2018-04-01,2019-03-01
110,Madhya Pradesh,255512.83333333334,284749.0,2019-04-01,2020-03-01
111,Madhya Pradesh,259976.29166666666,297702.25,2020-04-01,2021-03-01
112,Madhya Pradesh,242971.875,256595.83333333334,2021-04-01,2022-03-01
113,Madhya Pradesh,170246.5,194143.0,2022-04-01,2023-03-01
114,Maharashtra,827701.3333333334,863284.0,2017-04-01,2018-03-01
115,Maharashtra,894711.875,1061597.4583333333,2018-04-01,2019-03-01
116,Maharashtra,948970.3333333334,1121778.0833333333,2019-04-01,2020-03-01
117,Maharashtra,952575.2083333333,1142644.7916666667,2020-04-01,2021-03-01
118,Maharashtra,932615.75,987671.1666666666,2021-04-01,2022-03-01
119,Maharashtra,697827.5,809299.0,2022-04-01,2023-03-01
120,Manipur,4760.944444444444,6225.111111111111,2017-04-01,2018-03-01
121,Manipur,5965.916666666666,9080.791666666666,2018-04-01,2019-03-01
122,Manipur,6443.041666666667,9735.916666666666,2019-04-01,2020-03-01
123,Manipur,6720.791666666666,10420.083333333334,2020-04-01,2021-03-01
124,Manipur,7246.25,9960.5,2021-04-01,2022-03-01
125,Manipur,6154.25,9065.0,2022-04-01,2023-03-01
126,Meghalaya,10774.611111111111,12989.944444444445,2017-04-01,2018-03-01
127,Meghalaya,14115.625,19016.083333333332,2018-04-01,2019-03-01
128,Meghalaya,15853.25,22638.416666666668,2019-04-01,2020-03-01
129,Meghalaya,15381.75,22600.583333333332,2020-04-01,2021-03-01
130,Meghalaya,14498.041666666668,19529.0,2021-04-01,2022-03-01
131,Meghalaya,10627.5,16186.5,2022-04-01,2023-03-01
132,Mizoram,2585.0555555555557,3147.5,2017-04-01,2018-03-01
133,Mizoram,3237.916666666667,4464.0,2018-04-01,2019-03-01
134,Mizoram,3865.041666666667,5356.0,2019-04-01,2020-03-01
135,Mizoram,4238.291666666666,6059.583333333333,2020-04-01,2021-03-01
136,Mizoram,4848.791666666667,6228.583333333333,2021-04-01,2022-03-01
137,Mizoram,4450.25,6319.0,2022-04-01,2023-03-01
138,Nagaland,3457.0,4282.833333333333,2017-04-01,2018-03-01
139,Nagaland,4008.666666666667,5378.083333333333,2018-04-01,2019-03-01
140,Nagaland,4626.333333333333,6126.916666666667,2019-04-01,2020-03-01
141,Nagaland,4960.375,6391.416666666667,2020-04-01,2021-03-01
142,Nagaland,5335.958333333333,6333.333333333333,2021-04-01,2022-03-01
143,Nagaland,4724.0,6145.0,2022-04-01,2023-03-01
144,Odisha,118922.16666666667,136023.33333333334,2017-04-01,2018-03-01
145,Odisha,138454.04166666666,174082.83333333334,2018-04-01,2019-03-01
146,Odisha,156247.5833333333,184410.125,2019-04-01,2020-03-01
147,Odisha,166048.91666666666,198957.58333333334,2020-04-01,2021-03-01
148,Odisha,171539.04166666666,189365.25,2021-04-01,2022-03-01
149,Odisha,133179.75,159639.5,2022-04-01,2023-03-01
150,Puducherry,13290.777777777777,14021.666666666666,2017-04-01,2018-03-01
151,Puducherry,14849.375,18243.666666666668,2018-04-01,2019-03-01
152,Puducherry,15612.208333333332,18702.833333333332,2019-04-01,2020-03-01
