Country,State,State LGD Code,Year,Month,Settlement of Integrated goods and services tax ( IGST )_avg,Settlement of Integrated goods and services tax ( IGST )_max,Settlement of Integrated goods and services tax ( IGST )_min,Settlement of Integrated goods and services tax ( IGST )_sum,Settlement of Integrated goods and services tax ( IGST )_count,Settlement of Integrated goods and services tax ( IGST )_stddev,Settlement of Integrated goods and services tax ( IGST )_LandAreaWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationWeight,Settlement of Integrated goods and services tax ( IGST )_NumberOfHouseholdsWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationMaleWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationFemaleWeight
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019","August, 2019",55.8115020416,55.8115020416,55.8115020416,55.8115020416,1,,55.812,55.812,55.812,55.812,55.812
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019","September, 2019",105.7922652,105.7922652,105.7922652,105.7922652,1,,105.792,105.792,105.792,105.792,105.792
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019","October, 2019",-30.4508547,-30.4508547,-30.4508547,-30.4508547,1,,-30.451,-30.451,-30.451,-30.451,-30.451
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019","November, 2019",76.1937298,76.1937298,76.1937298,76.1937298,1,,76.194,76.194,76.194,76.194,76.194
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019","December, 2019",42.0,42.0,42.0,42.0,1,,42.0,42.0,42.0,42.0,42.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","January, 2020",109.0,109.0,109.0,109.0,1,,109.0,109.0,109.0,109.0,109.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","February, 2020",94.5,94.5,94.5,94.5,1,,94.5,94.5,94.5,94.5,94.5
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","March, 2020",70.09206,70.09206,70.09206,70.09206,1,,70.092,70.092,70.092,70.092,70.092
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","April, 2020",25.81,25.81,25.81,25.81,1,,25.81,25.81,25.81,25.81,25.81
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","May, 2020",30.83,30.83,30.83,30.83,1,,30.83,30.83,30.83,30.83,30.83
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","June, 2020",111.4,111.4,111.4,111.4,1,,111.4,111.4,111.4,111.4,111.4
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","July, 2020",63.660089459,63.660089459,63.660089459,63.660089459,1,,63.66,63.66,63.66,63.66,63.66
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","August, 2020",92.259545591,92.259545591,92.259545591,92.259545591,1,,92.26,92.26,92.26,92.26,92.26
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","September, 2020",113.718733419,113.718733419,113.718733419,113.718733419,1,,113.719,113.719,113.719,113.719,113.719
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","October, 2020",59.448193727,59.448193727,59.448193727,59.448193727,1,,59.448,59.448,59.448,59.448,59.448
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","November, 2020",85.018922688,85.018922688,85.018922688,85.018922688,1,,85.019,85.019,85.019,85.019,85.019
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020","December, 2020",120.200496312,120.200496312,120.200496312,120.200496312,1,,120.2,120.2,120.2,120.2,120.2
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021","January, 2021",110.355268239,110.355268239,110.355268239,110.355268239,1,,110.355,110.355,110.355,110.355,110.355
