,state,start_date,end_date,Settlement of Integrated goods and services tax ( IGST )
93,kerala,2020-01-01,2021-12-01,730.1718239875
94,kerala,2021-01-01,2022-12-01,1007.2900525003333
95,kerala,2022-01-01,2023-12-01,1220.9126124691666
96,ladakh,2017-01-01,2018-12-01,3.57708080612
97,ladakh,2018-01-01,2019-12-01,4.734363859175001
98,ladakh,2019-01-01,2020-12-01,4.8904756493
99,ladakh,2020-01-01,2021-12-01,10.866458659472727
100,ladakh,2021-01-01,2022-12-01,17.6794452575
101,ladakh,2022-01-01,2023-12-01,16.495450749499998
102,lakshadweep,2017-01-01,2018-12-01,0.4075824552
103,lakshadweep,2018-01-01,2019-12-01,0.7189233306666667
104,lakshadweep,2019-01-01,2020-12-01,1.3582551869166666
105,lakshadweep,2020-01-01,2021-12-01,1.40846081575
106,lakshadweep,2021-01-01,2022-12-01,1.9800109914166668
107,lakshadweep,2022-01-01,2023-12-01,1.7551507803333333
108,madhya pradesh,2017-01-01,2018-12-01,529.833797236
109,madhya pradesh,2018-01-01,2019-12-01,700.1540888725
110,madhya pradesh,2019-01-01,2020-12-01,815.4471706688668
111,madhya pradesh,2020-01-01,2021-12-01,746.2095139646667
112,madhya pradesh,2021-01-01,2022-12-01,959.8512535284167
113,madhya pradesh,2022-01-01,2023-12-01,1126.177839594
114,maharashtra,2017-01-01,2018-12-01,1425.008164701
115,maharashtra,2018-01-01,2019-12-01,1562.0347034222502
116,maharashtra,2019-01-01,2020-12-01,1680.44393652955
117,maharashtra,2020-01-01,2021-12-01,1444.357274157
118,maharashtra,2021-01-01,2022-12-01,2241.13693462975
119,maharashtra,2022-01-01,2023-12-01,2848.553316537667
120,manipur,2017-01-01,2018-12-01,20.2508917126
121,manipur,2018-01-01,2019-12-01,36.28168925225
122,manipur,2019-01-01,2020-12-01,47.81295235289167
123,manipur,2020-01-01,2021-12-01,47.4290105605
124,manipur,2021-01-01,2022-12-01,64.82124239824999
125,manipur,2022-01-01,2023-12-01,87.01890868183334
126,meghalaya,2017-01-01,2018-12-01,22.172742558800003
127,meghalaya,2018-01-01,2019-12-01,34.95240489625
128,meghalaya,2019-01-01,2020-12-01,42.00763750873333
129,meghalaya,2020-01-01,2021-12-01,38.85176437183333
130,meghalaya,2021-01-01,2022-12-01,54.64839970558333
131,meghalaya,2022-01-01,2023-12-01,75.89697545816666
132,mizoram,2017-01-01,2018-12-01,12.0355431416
133,mizoram,2018-01-01,2019-12-01,24.521814210333332
134,mizoram,2019-01-01,2020-12-01,31.104000761983333
135,mizoram,2020-01-01,2021-12-01,31.151523082583335
136,mizoram,2021-01-01,2022-12-01,42.2669111915
137,mizoram,2022-01-01,2023-12-01,58.874410443500004
138,nagaland,2017-01-01,2018-12-01,13.241175515
139,nagaland,2018-01-01,2019-12-01,25.797472542416667
140,nagaland,2019-01-01,2020-12-01,35.483651006275004
141,nagaland,2020-01-01,2021-12-01,35.57550040508333
142,nagaland,2021-01-01,2022-12-01,50.63332244716667
143,nagaland,2022-01-01,2023-12-01,58.791776647999995
144,odisha,2017-01-01,2018-12-01,274.3656684308
145,odisha,2018-01-01,2019-12-01,308.3089147570833
146,odisha,2019-01-01,2020-12-01,331.203041008275
147,odisha,2020-01-01,2021-12-01,362.6320531403333
148,odisha,2021-01-01,2022-12-01,352.9627788620833
149,odisha,2022-01-01,2023-12-01,181.25788705716664
150,puducherry,2017-01-01,2018-12-01,25.4878942484
151,puducherry,2018-01-01,2019-12-01,31.945974469083335
152,puducherry,2019-01-01,2020-12-01,28.93305969795
153,puducherry,2020-01-01,2021-12-01,27.833198753
154,puducherry,2021-01-01,2022-12-01,39.93711338333333
155,puducherry,2022-01-01,2023-12-01,46.57533302566667
156,punjab,2017-01-01,2018-12-01,432.1275601436
157,punjab,2018-01-01,2019-12-01,486.87211696450004
158,punjab,2019-01-01,2020-12-01,522.55626857835
159,punjab,2020-01-01,2021-12-01,479.60145588958335
160,punjab,2021-01-01,2022-12-01,669.4017335679999
161,punjab,2022-01-01,2023-12-01,799.6376488473334
162,rajasthan,2017-01-01,2018-12-01,612.1041757119999
163,rajasthan,2018-01-01,2019-12-01,758.176883424
164,rajasthan,2019-01-01,2020-12-01,791.2177207574083
165,rajasthan,2020-01-01,2021-12-01,714.3027889566666
166,rajasthan,2021-01-01,2022-12-01,1041.1203539345
167,rajasthan,2022-01-01,2023-12-01,1333.5926088694998
168,sikkim,2017-01-01,2018-12-01,7.8656793318
169,sikkim,2018-01-01,2019-12-01,14.3396347795
170,sikkim,2019-01-01,2020-12-01,20.999694497816666
171,sikkim,2020-01-01,2021-12-01,16.991406204083333
172,sikkim,2021-01-01,2022-12-01,28.056481438083335
173,sikkim,2022-01-01,2023-12-01,40.52652085766667
174,tamil nadu,2017-01-01,2018-12-01,896.7586242043999
175,tamil nadu,2018-01-01,2019-12-01,1026.3392857454166
176,tamil nadu,2019-01-01,2020-12-01,1076.454046702225
177,tamil nadu,2020-01-01,2021-12-01,908.76616667775
178,tamil nadu,2021-01-01,2022-12-01,1284.3109426874166
179,tamil nadu,2022-01-01,2023-12-01,1626.1081614156667
180,telangana,2017-01-01,2018-12-01,687.7746941319999
181,telangana,2018-01-01,2019-12-01,836.7326764174167
182,telangana,2019-01-01,2020-12-01,857.57483648985
183,telangana,2020-01-01,2021-12-01,824.1444542186667
184,telangana,2021-01-01,2022-12-01,1154.7333534088334
185,telangana,2022-01-01,2023-12-01,1386.7320732495
186,the dadra and nagar haveli and daman and diu,2017-01-01,2018-12-01,10.301138358
187,the dadra and nagar haveli and daman and diu,2018-01-01,2019-12-01,7.753043533833334
188,the dadra and nagar haveli and daman and diu,2019-01-01,2020-12-01,6.777606751916667
189,the dadra and nagar haveli and daman and diu,2020-01-01,2021-12-01,10.70042702825
190,the dadra and nagar haveli and daman and diu,2021-01-01,2022-12-01,29.7842684565
191,the dadra and nagar haveli and daman and diu,2022-01-01,2023-12-01,35.140342859
192,tripura,2017-01-01,2018-12-01,30.7975060308
193,tripura,2018-01-01,2019-12-01,44.36297239583333
194,tripura,2019-01-01,2020-12-01,51.77596714975834
