Country,State,State lgd code,Year,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration_avg,Payer eligible for gst ( goods and service tax ) registration_max,Payer eligible for gst ( goods and service tax ) registration_min,Payer eligible for gst ( goods and service tax ) registration_sum,Payer eligible for gst ( goods and service tax ) registration_count,Payer eligible for gst ( goods and service tax ) registration_stddev,Payer eligible for gst ( goods and service tax ) registration_LandAreaWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationWeight,Payer eligible for gst ( goods and service tax ) registration_NumberOfHouseholdsWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationMaleWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered before due date_avg,Gst ( goods and service tax ) payers registered before due date_max,Gst ( goods and service tax ) payers registered before due date_min,Gst ( goods and service tax ) payers registered before due date_sum,Gst ( goods and service tax ) payers registered before due date_count,Gst ( goods and service tax ) payers registered before due date_stddev,Gst ( goods and service tax ) payers registered before due date_LandAreaWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered before due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered after due date_avg,Gst ( goods and service tax ) payers registered after due date_max,Gst ( goods and service tax ) payers registered after due date_min,Gst ( goods and service tax ) payers registered after due date_sum,Gst ( goods and service tax ) payers registered after due date_count,Gst ( goods and service tax ) payers registered after due date_stddev,Gst ( goods and service tax ) payers registered after due date_LandAreaWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered after due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationFemaleWeight
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","October, 2017",GSTR-1,25413.0,25413,25413,25413,1,,25413.0,25413.0,25413.0,25413.0,25413.0,18405.0,18405,18405,18405,1,,18405.0,18405.0,18405.0,18405.0,18405.0,2723.0,2723,2723,2723,1,,2723.0,2723.0,2723.0,2723.0,2723.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","January, 2020",GSTR-3,7448.0,7448,7448,7448,1,,7448.0,7448.0,7448.0,7448.0,7448.0,4463.0,4463,4463,4463,1,,4463.0,4463.0,4463.0,4463.0,4463.0,2059.0,2059,2059,2059,1,,2059.0,2059.0,2059.0,2059.0,2059.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","October, 2017",GSTR-3,62319.0,62319,62319,62319,1,,62319.0,62319.0,62319.0,62319.0,62319.0,33108.0,33108,33108,33108,1,,33108.0,33108.0,33108.0,33108.0,33108.0,25952.0,25952,25952,25952,1,,25952.0,25952.0,25952.0,25952.0,25952.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","November, 2017",GSTR-1,26079.0,26079,26079,26079,1,,26079.0,26079.0,26079.0,26079.0,26079.0,18699.0,18699,18699,18699,1,,18699.0,18699.0,18699.0,18699.0,18699.0,3013.0,3013,3013,3013,1,,3013.0,3013.0,3013.0,3013.0,3013.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","November, 2017",GSTR-3,64586.0,64586,64586,64586,1,,64586.0,64586.0,64586.0,64586.0,64586.0,36389.0,36389,36389,36389,1,,36389.0,36389.0,36389.0,36389.0,36389.0,24290.0,24290,24290,24290,1,,24290.0,24290.0,24290.0,24290.0,24290.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","December, 2017",GSTR-1,66074.0,66074,66074,66074,1,,66074.0,66074.0,66074.0,66074.0,66074.0,45665.0,45665,45665,45665,1,,45665.0,45665.0,45665.0,45665.0,45665.0,13095.0,13095,13095,13095,1,,13095.0,13095.0,13095.0,13095.0,13095.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","December, 2017",GSTR-3,66074.0,66074,66074,66074,1,,66074.0,66074.0,66074.0,66074.0,66074.0,42030.0,42030,42030,42030,1,,42030.0,42030.0,42030.0,42030.0,42030.0,19778.0,19778,19778,19778,1,,19778.0,19778.0,19778.0,19778.0,19778.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","January, 2018",GSTR-1,27196.0,27196,27196,27196,1,,27196.0,27196.0,27196.0,27196.0,27196.0,18497.0,18497,18497,18497,1,,18497.0,18497.0,18497.0,18497.0,18497.0,3718.0,3718,3718,3718,1,,3718.0,3718.0,3718.0,3718.0,3718.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","February, 2020",GSTR-1,3729.0,3729,3729,3729,1,,3729.0,3729.0,3729.0,3729.0,3729.0,1818.0,1818,1818,1818,1,,1818.0,1818.0,1818.0,1818.0,1818.0,959.0,959,959,959,1,,959.0,959.0,959.0,959.0,959.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","January, 2018",GSTR-3,68002.0,68002,68002,68002,1,,68002.0,68002.0,68002.0,68002.0,68002.0,42155.0,42155,42155,42155,1,,42155.0,42155.0,42155.0,42155.0,42155.0,21168.0,21168,21168,21168,1,,21168.0,21168.0,21168.0,21168.0,21168.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","February, 2018",GSTR-1,27817.0,27817,27817,27817,1,,27817.0,27817.0,27817.0,27817.0,27817.0,18381.0,18381,18381,18381,1,,18381.0,18381.0,18381.0,18381.0,18381.0,4114.0,4114,4114,4114,1,,4114.0,4114.0,4114.0,4114.0,4114.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","February, 2018",GSTR-3,69822.0,69822,69822,69822,1,,69822.0,69822.0,69822.0,69822.0,69822.0,42923.0,42923,42923,42923,1,,42923.0,42923.0,42923.0,42923.0,42923.0,21846.0,21846,21846,21846,1,,21846.0,21846.0,21846.0,21846.0,21846.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","March, 2018",GSTR-1,71741.0,71741,71741,71741,1,,71741.0,71741.0,71741.0,71741.0,71741.0,44615.0,44615,44615,44615,1,,44615.0,44615.0,44615.0,44615.0,44615.0,17630.0,17630,17630,17630,1,,17630.0,17630.0,17630.0,17630.0,17630.0
India,Jammu And Kashmir,1,"Financial Year (Apr - Mar), 2017","March, 2018",GSTR-3,71741.0,71741,71741,71741,1,,71741.0,71741.0,71741.0,71741.0,71741.0,41278.0,41278,41278,41278,1,,41278.0,41278.0,41278.0,41278.0,41278.0,25080.0,25080,25080,25080,1,,25080.0,25080.0,25080.0,25080.0,25080.0
