Country,State,State lgd code,Year,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration_avg,Payer eligible for gst ( goods and service tax ) registration_max,Payer eligible for gst ( goods and service tax ) registration_min,Payer eligible for gst ( goods and service tax ) registration_sum,Payer eligible for gst ( goods and service tax ) registration_count,Payer eligible for gst ( goods and service tax ) registration_stddev,Payer eligible for gst ( goods and service tax ) registration_LandAreaWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationWeight,Payer eligible for gst ( goods and service tax ) registration_NumberOfHouseholdsWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationMaleWeight,Payer eligible for gst ( goods and service tax ) registration_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered before due date_avg,Gst ( goods and service tax ) payers registered before due date_max,Gst ( goods and service tax ) payers registered before due date_min,Gst ( goods and service tax ) payers registered before due date_sum,Gst ( goods and service tax ) payers registered before due date_count,Gst ( goods and service tax ) payers registered before due date_stddev,Gst ( goods and service tax ) payers registered before due date_LandAreaWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered before due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered before due date_TotalPopulationFemaleWeight,Gst ( goods and service tax ) payers registered after due date_avg,Gst ( goods and service tax ) payers registered after due date_max,Gst ( goods and service tax ) payers registered after due date_min,Gst ( goods and service tax ) payers registered after due date_sum,Gst ( goods and service tax ) payers registered after due date_count,Gst ( goods and service tax ) payers registered after due date_stddev,Gst ( goods and service tax ) payers registered after due date_LandAreaWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationWeight,Gst ( goods and service tax ) payers registered after due date_NumberOfHouseholdsWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationMaleWeight,Gst ( goods and service tax ) payers registered after due date_TotalPopulationFemaleWeight
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","November, 2019",GSTR-1,4062.0,4062,4062,4062,1,,4062.0,4062.0,4062.0,4062.0,4062.0,838.0,838,838,838,1,,838.0,838.0,838.0,838.0,838.0,1928.0,1928,1928,1928,1,,1928.0,1928.0,1928.0,1928.0,1928.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","September, 2021",GSTR-3,418128.0,418128,418128,418128,1,,418128.0,418128.0,418128.0,418128.0,418128.0,308574.0,308574,308574,308574,1,,308574.0,308574.0,308574.0,308574.0,308574.0,79129.0,79129,79129,79129,1,,79129.0,79129.0,79129.0,79129.0,79129.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","October, 2021",GSTR-1,259213.0,259213,259213,259213,1,,259213.0,259213.0,259213.0,259213.0,259213.0,58106.0,58106,58106,58106,1,,58106.0,58106.0,58106.0,58106.0,58106.0,151746.0,151746,151746,151746,1,,151746.0,151746.0,151746.0,151746.0,151746.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","October, 2021",GSTR-3,259213.0,259213,259213,259213,1,,259213.0,259213.0,259213.0,259213.0,259213.0,175124.0,175124,175124,175124,1,,175124.0,175124.0,175124.0,175124.0,175124.0,53578.0,53578,53578,53578,1,,53578.0,53578.0,53578.0,53578.0,53578.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","November, 2021",GSTR-1,262802.0,262802,262802,262802,1,,262802.0,262802.0,262802.0,262802.0,262802.0,161774.0,161774,161774,161774,1,,161774.0,161774.0,161774.0,161774.0,161774.0,51260.0,51260,51260,51260,1,,51260.0,51260.0,51260.0,51260.0,51260.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","November, 2021",GSTR-3,262802.0,262802,262802,262802,1,,262802.0,262802.0,262802.0,262802.0,262802.0,181335.0,181335,181335,181335,1,,181335.0,181335.0,181335.0,181335.0,181335.0,49549.0,49549,49549,49549,1,,49549.0,49549.0,49549.0,49549.0,49549.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","December, 2021",GSTR-1,437396.0,437396,437396,437396,1,,437396.0,437396.0,437396.0,437396.0,437396.0,127083.0,127083,127083,127083,1,,127083.0,127083.0,127083.0,127083.0,127083.0,231935.0,231935,231935,231935,1,,231935.0,231935.0,231935.0,231935.0,231935.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","December, 2021",GSTR-3,437396.0,437396,437396,437396,1,,437396.0,437396.0,437396.0,437396.0,437396.0,318863.0,318863,318863,318863,1,,318863.0,318863.0,318863.0,318863.0,318863.0,70952.0,70952,70952,70952,1,,70952.0,70952.0,70952.0,70952.0,70952.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","January, 2022",GSTR-1,265429.0,265429,265429,265429,1,,265429.0,265429.0,265429.0,265429.0,265429.0,81804.0,81804,81804,81804,1,,81804.0,81804.0,81804.0,81804.0,81804.0,130018.0,130018,130018,130018,1,,130018.0,130018.0,130018.0,130018.0,130018.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","January, 2022",GSTR-3,265429.0,265429,265429,265429,1,,265429.0,265429.0,265429.0,265429.0,265429.0,181607.0,181607,181607,181607,1,,181607.0,181607.0,181607.0,181607.0,181607.0,47492.0,47492,47492,47492,1,,47492.0,47492.0,47492.0,47492.0,47492.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","February, 2022",GSTR-1,272122.0,272122,272122,272122,1,,272122.0,272122.0,272122.0,272122.0,272122.0,167621.0,167621,167621,167621,1,,167621.0,167621.0,167621.0,167621.0,167621.0,47603.0,47603,47603,47603,1,,47603.0,47603.0,47603.0,47603.0,47603.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","February, 2022",GSTR-3,272122.0,272122,272122,272122,1,,272122.0,272122.0,272122.0,272122.0,272122.0,178858.0,178858,178858,178858,1,,178858.0,178858.0,178858.0,178858.0,178858.0,55286.0,55286,55286,55286,1,,55286.0,55286.0,55286.0,55286.0,55286.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","March, 2022",GSTR-1,456786.0,456786,456786,456786,1,,456786.0,456786.0,456786.0,456786.0,456786.0,120448.0,120448,120448,120448,1,,120448.0,120448.0,120448.0,120448.0,120448.0,232985.0,232985,232985,232985,1,,232985.0,232985.0,232985.0,232985.0,232985.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2019","November, 2019",GSTR-3,7403.0,7403,7403,7403,1,,7403.0,7403.0,7403.0,7403.0,7403.0,4529.0,4529,4529,4529,1,,4529.0,4529.0,4529.0,4529.0,4529.0,1870.0,1870,1870,1870,1,,1870.0,1870.0,1870.0,1870.0,1870.0
India,Bihar,10,"Financial Year (Apr - Mar), 2021","March, 2022",GSTR-3,456786.0,456786,456786,456786,1,,456786.0,456786.0,456786.0,456786.0,456786.0,300322.0,300322,300322,300322,1,,300322.0,300322.0,300322.0,300322.0,300322.0,90108.0,90108,90108,90108,1,,90108.0,90108.0,90108.0,90108.0,90108.0
India,Bihar,10,"Financial Year (Apr - Mar), 2022","April, 2022",GSTR-1,276452.0,276452,276452,276452,1,,276452.0,276452.0,276452.0,276452.0,276452.0,73601.0,73601,73601,73601,1,,73601.0,73601.0,73601.0,73601.0,73601.0,130822.0,130822,130822,130822,1,,130822.0,130822.0,130822.0,130822.0,130822.0
India,Bihar,10,"Financial Year (Apr - Mar), 2022","April, 2022",GSTR-3,276452.0,276452,276452,276452,1,,276452.0,276452.0,276452.0,276452.0,276452.0,190870.0,190870,190870,190870,1,,190870.0,190870.0,190870.0,190870.0,190870.0,33372.0,33372,33372,33372,1,,33372.0,33372.0,33372.0,33372.0,33372.0
India,Bihar,10,"Financial Year (Apr - Mar), 2022","May, 2022",GSTR-1,280982.0,280982,280982,280982,1,,280982.0,280982.0,280982.0,280982.0,280982.0,80283.0,80283,80283,80283,1,,80283.0,80283.0,80283.0,80283.0,80283.0,115714.0,115714,115714,115714,1,,115714.0,115714.0,115714.0,115714.0,115714.0
India,Bihar,10,"Financial Year (Apr - Mar), 2022","May, 2022",GSTR-3,280982.0,280982,280982,280982,1,,280982.0,280982.0,280982.0,280982.0,280982.0,160814.0,160814,160814,160814,1,,160814.0,160814.0,160814.0,160814.0,160814.0,56006.0,56006,56006,56006,1,,56006.0,56006.0,56006.0,56006.0,56006.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2017","July, 2017",GSTR-1,3154.0,3154,3154,3154,1,,3154.0,3154.0,3154.0,3154.0,3154.0,2521.0,2521,2521,2521,1,,2521.0,2521.0,2521.0,2521.0,2521.0,351.0,351,351,351,1,,351.0,351.0,351.0,351.0,351.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2017","July, 2017",GSTR-3,3154.0,3154,3154,3154,1,,3154.0,3154.0,3154.0,3154.0,3154.0,1941.0,1941,1941,1941,1,,1941.0,1941.0,1941.0,1941.0,1941.0,1086.0,1086,1086,1086,1,,1086.0,1086.0,1086.0,1086.0,1086.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","April, 2021",GSTR-1,5479.0,5479,5479,5479,1,,5479.0,5479.0,5479.0,5479.0,5479.0,758.0,758,758,758,1,,758.0,758.0,758.0,758.0,758.0,3703.0,3703,3703,3703,1,,3703.0,3703.0,3703.0,3703.0,3703.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","April, 2021",GSTR-3,5479.0,5479,5479,5479,1,,5479.0,5479.0,5479.0,5479.0,5479.0,1124.0,1124,1124,1124,1,,1124.0,1124.0,1124.0,1124.0,1124.0,3596.0,3596,3596,3596,1,,3596.0,3596.0,3596.0,3596.0,3596.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","May, 2021",GSTR-1,5462.0,5462,5462,5462,1,,5462.0,5462.0,5462.0,5462.0,5462.0,561.0,561,561,561,1,,561.0,561.0,561.0,561.0,561.0,3876.0,3876,3876,3876,1,,3876.0,3876.0,3876.0,3876.0,3876.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","May, 2021",GSTR-3,5462.0,5462,5462,5462,1,,5462.0,5462.0,5462.0,5462.0,5462.0,1118.0,1118,1118,1118,1,,1118.0,1118.0,1118.0,1118.0,1118.0,3547.0,3547,3547,3547,1,,3547.0,3547.0,3547.0,3547.0,3547.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","June, 2021",GSTR-1,8047.0,8047,8047,8047,1,,8047.0,8047.0,8047.0,8047.0,8047.0,1687.0,1687,1687,1687,1,,1687.0,1687.0,1687.0,1687.0,1687.0,5101.0,5101,5101,5101,1,,5101.0,5101.0,5101.0,5101.0,5101.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","June, 2021",GSTR-3,8047.0,8047,8047,8047,1,,8047.0,8047.0,8047.0,8047.0,8047.0,4175.0,4175,4175,4175,1,,4175.0,4175.0,4175.0,4175.0,4175.0,2921.0,2921,2921,2921,1,,2921.0,2921.0,2921.0,2921.0,2921.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","July, 2021",GSTR-1,5619.0,5619,5619,5619,1,,5619.0,5619.0,5619.0,5619.0,5619.0,1644.0,1644,1644,1644,1,,1644.0,1644.0,1644.0,1644.0,1644.0,2807.0,2807,2807,2807,1,,2807.0,2807.0,2807.0,2807.0,2807.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","July, 2021",GSTR-3,5619.0,5619,5619,5619,1,,5619.0,5619.0,5619.0,5619.0,5619.0,3218.0,3218,3218,3218,1,,3218.0,3218.0,3218.0,3218.0,3218.0,1448.0,1448,1448,1448,1,,1448.0,1448.0,1448.0,1448.0,1448.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","August, 2021",GSTR-1,5711.0,5711,5711,5711,1,,5711.0,5711.0,5711.0,5711.0,5711.0,1905.0,1905,1905,1905,1,,1905.0,1905.0,1905.0,1905.0,1905.0,2563.0,2563,2563,2563,1,,2563.0,2563.0,2563.0,2563.0,2563.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","August, 2021",GSTR-3,5711.0,5711,5711,5711,1,,5711.0,5711.0,5711.0,5711.0,5711.0,3351.0,3351,3351,3351,1,,3351.0,3351.0,3351.0,3351.0,3351.0,1379.0,1379,1379,1379,1,,1379.0,1379.0,1379.0,1379.0,1379.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","September, 2021",GSTR-1,8314.0,8314,8314,8314,1,,8314.0,8314.0,8314.0,8314.0,8314.0,3348.0,3348,3348,3348,1,,3348.0,3348.0,3348.0,3348.0,3348.0,3564.0,3564,3564,3564,1,,3564.0,3564.0,3564.0,3564.0,3564.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","September, 2021",GSTR-3,8314.0,8314,8314,8314,1,,8314.0,8314.0,8314.0,8314.0,8314.0,5305.0,5305,5305,5305,1,,5305.0,5305.0,5305.0,5305.0,5305.0,1936.0,1936,1936,1936,1,,1936.0,1936.0,1936.0,1936.0,1936.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","October, 2021",GSTR-1,5709.0,5709,5709,5709,1,,5709.0,5709.0,5709.0,5709.0,5709.0,1691.0,1691,1691,1691,1,,1691.0,1691.0,1691.0,1691.0,1691.0,2737.0,2737,2737,2737,1,,2737.0,2737.0,2737.0,2737.0,2737.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","October, 2021",GSTR-3,5709.0,5709,5709,5709,1,,5709.0,5709.0,5709.0,5709.0,5709.0,3389.0,3389,3389,3389,1,,3389.0,3389.0,3389.0,3389.0,3389.0,1290.0,1290,1290,1290,1,,1290.0,1290.0,1290.0,1290.0,1290.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","November, 2021",GSTR-1,5805.0,5805,5805,5805,1,,5805.0,5805.0,5805.0,5805.0,5805.0,3510.0,3510,3510,3510,1,,3510.0,3510.0,3510.0,3510.0,3510.0,1068.0,1068,1068,1068,1,,1068.0,1068.0,1068.0,1068.0,1068.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","November, 2021",GSTR-3,5805.0,5805,5805,5805,1,,5805.0,5805.0,5805.0,5805.0,5805.0,3512.0,3512,3512,3512,1,,3512.0,3512.0,3512.0,3512.0,3512.0,1242.0,1242,1242,1242,1,,1242.0,1242.0,1242.0,1242.0,1242.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","December, 2021",GSTR-1,8632.0,8632,8632,8632,1,,8632.0,8632.0,8632.0,8632.0,8632.0,2939.0,2939,2939,2939,1,,2939.0,2939.0,2939.0,2939.0,2939.0,4306.0,4306,4306,4306,1,,4306.0,4306.0,4306.0,4306.0,4306.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","December, 2021",GSTR-3,8632.0,8632,8632,8632,1,,8632.0,8632.0,8632.0,8632.0,8632.0,5851.0,5851,5851,5851,1,,5851.0,5851.0,5851.0,5851.0,5851.0,1579.0,1579,1579,1579,1,,1579.0,1579.0,1579.0,1579.0,1579.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","January, 2022",GSTR-1,5837.0,5837,5837,5837,1,,5837.0,5837.0,5837.0,5837.0,5837.0,2235.0,2235,2235,2235,1,,2235.0,2235.0,2235.0,2235.0,2235.0,2275.0,2275,2275,2275,1,,2275.0,2275.0,2275.0,2275.0,2275.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","January, 2022",GSTR-3,5837.0,5837,5837,5837,1,,5837.0,5837.0,5837.0,5837.0,5837.0,3451.0,3451,3451,3451,1,,3451.0,3451.0,3451.0,3451.0,3451.0,1199.0,1199,1199,1199,1,,1199.0,1199.0,1199.0,1199.0,1199.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","February, 2022",GSTR-1,5912.0,5912,5912,5912,1,,5912.0,5912.0,5912.0,5912.0,5912.0,3678.0,3678,3678,3678,1,,3678.0,3678.0,3678.0,3678.0,3678.0,916.0,916,916,916,1,,916.0,916.0,916.0,916.0,916.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","February, 2022",GSTR-3,5912.0,5912,5912,5912,1,,5912.0,5912.0,5912.0,5912.0,5912.0,3508.0,3508,3508,3508,1,,3508.0,3508.0,3508.0,3508.0,3508.0,1221.0,1221,1221,1221,1,,1221.0,1221.0,1221.0,1221.0,1221.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","March, 2022",GSTR-1,8941.0,8941,8941,8941,1,,8941.0,8941.0,8941.0,8941.0,8941.0,2866.0,2866,2866,2866,1,,2866.0,2866.0,2866.0,2866.0,2866.0,4340.0,4340,4340,4340,1,,4340.0,4340.0,4340.0,4340.0,4340.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2021","March, 2022",GSTR-3,8941.0,8941,8941,8941,1,,8941.0,8941.0,8941.0,8941.0,8941.0,5756.0,5756,5756,5756,1,,5756.0,5756.0,5756.0,5756.0,5756.0,1654.0,1654,1654,1654,1,,1654.0,1654.0,1654.0,1654.0,1654.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2022","April, 2022",GSTR-1,6036.0,6036,6036,6036,1,,6036.0,6036.0,6036.0,6036.0,6036.0,1954.0,1954,1954,1954,1,,1954.0,1954.0,1954.0,1954.0,1954.0,2478.0,2478,2478,2478,1,,2478.0,2478.0,2478.0,2478.0,2478.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2022","April, 2022",GSTR-3,6036.0,6036,6036,6036,1,,6036.0,6036.0,6036.0,6036.0,6036.0,3825.0,3825,3825,3825,1,,3825.0,3825.0,3825.0,3825.0,3825.0,729.0,729,729,729,1,,729.0,729.0,729.0,729.0,729.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2022","May, 2022",GSTR-1,6124.0,6124,6124,6124,1,,6124.0,6124.0,6124.0,6124.0,6124.0,2101.0,2101,2101,2101,1,,2101.0,2101.0,2101.0,2101.0,2101.0,2164.0,2164,2164,2164,1,,2164.0,2164.0,2164.0,2164.0,2164.0
India,Sikkim,11,"Financial Year (Apr - Mar), 2022","May, 2022",GSTR-3,6124.0,6124,6124,6124,1,,6124.0,6124.0,6124.0,6124.0,6124.0,3777.0,3777,3777,3777,1,,3777.0,3777.0,3777.0,3777.0,3777.0,533.0,533,533,533,1,,533.0,533.0,533.0,533.0,533.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","July, 2017",GSTR-1,4103.0,4103,4103,4103,1,,4103.0,4103.0,4103.0,4103.0,4103.0,2743.0,2743,2743,2743,1,,2743.0,2743.0,2743.0,2743.0,2743.0,662.0,662,662,662,1,,662.0,662.0,662.0,662.0,662.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","July, 2017",GSTR-3,4103.0,4103,4103,4103,1,,4103.0,4103.0,4103.0,4103.0,4103.0,1212.0,1212,1212,1212,1,,1212.0,1212.0,1212.0,1212.0,1212.0,2546.0,2546,2546,2546,1,,2546.0,2546.0,2546.0,2546.0,2546.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","August, 2017",GSTR-1,2893.0,2893,2893,2893,1,,2893.0,2893.0,2893.0,2893.0,2893.0,1654.0,1654,1654,1654,1,,1654.0,1654.0,1654.0,1654.0,1654.0,417.0,417,417,417,1,,417.0,417.0,417.0,417.0,417.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","August, 2017",GSTR-3,5300.0,5300,5300,5300,1,,5300.0,5300.0,5300.0,5300.0,5300.0,716.0,716,716,716,1,,716.0,716.0,716.0,716.0,716.0,3912.0,3912,3912,3912,1,,3912.0,3912.0,3912.0,3912.0,3912.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","September, 2017",GSTR-1,6068.0,6068,6068,6068,1,,6068.0,6068.0,6068.0,6068.0,6068.0,3443.0,3443,3443,3443,1,,3443.0,3443.0,3443.0,3443.0,3443.0,1263.0,1263,1263,1263,1,,1263.0,1263.0,1263.0,1263.0,1263.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","September, 2017",GSTR-3,6068.0,6068,6068,6068,1,,6068.0,6068.0,6068.0,6068.0,6068.0,1075.0,1075,1075,1075,1,,1075.0,1075.0,1075.0,1075.0,1075.0,4122.0,4122,4122,4122,1,,4122.0,4122.0,4122.0,4122.0,4122.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","October, 2017",GSTR-1,3316.0,3316,3316,3316,1,,3316.0,3316.0,3316.0,3316.0,3316.0,1828.0,1828,1828,1828,1,,1828.0,1828.0,1828.0,1828.0,1828.0,552.0,552,552,552,1,,552.0,552.0,552.0,552.0,552.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","October, 2017",GSTR-3,6212.0,6212,6212,6212,1,,6212.0,6212.0,6212.0,6212.0,6212.0,1478.0,1478,1478,1478,1,,1478.0,1478.0,1478.0,1478.0,1478.0,3887.0,3887,3887,3887,1,,3887.0,3887.0,3887.0,3887.0,3887.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","November, 2017",GSTR-1,3452.0,3452,3452,3452,1,,3452.0,3452.0,3452.0,3452.0,3452.0,1898.0,1898,1898,1898,1,,1898.0,1898.0,1898.0,1898.0,1898.0,640.0,640,640,640,1,,640.0,640.0,640.0,640.0,640.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","November, 2017",GSTR-3,6518.0,6518,6518,6518,1,,6518.0,6518.0,6518.0,6518.0,6518.0,1666.0,1666,1666,1666,1,,1666.0,1666.0,1666.0,1666.0,1666.0,3924.0,3924,3924,3924,1,,3924.0,3924.0,3924.0,3924.0,3924.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","December, 2017",GSTR-1,6705.0,6705,6705,6705,1,,6705.0,6705.0,6705.0,6705.0,6705.0,3660.0,3660,3660,3660,1,,3660.0,3660.0,3660.0,3660.0,3660.0,1685.0,1685,1685,1685,1,,1685.0,1685.0,1685.0,1685.0,1685.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","December, 2017",GSTR-3,6705.0,6705,6705,6705,1,,6705.0,6705.0,6705.0,6705.0,6705.0,2022.0,2022,2022,2022,1,,2022.0,2022.0,2022.0,2022.0,2022.0,3754.0,3754,3754,3754,1,,3754.0,3754.0,3754.0,3754.0,3754.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","January, 2018",GSTR-1,3592.0,3592,3592,3592,1,,3592.0,3592.0,3592.0,3592.0,3592.0,1885.0,1885,1885,1885,1,,1885.0,1885.0,1885.0,1885.0,1885.0,736.0,736,736,736,1,,736.0,736.0,736.0,736.0,736.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","January, 2018",GSTR-3,6982.0,6982,6982,6982,1,,6982.0,6982.0,6982.0,6982.0,6982.0,2222.0,2222,2222,2222,1,,2222.0,2222.0,2222.0,2222.0,2222.0,3752.0,3752,3752,3752,1,,3752.0,3752.0,3752.0,3752.0,3752.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","February, 2018",GSTR-1,3771.0,3771,3771,3771,1,,3771.0,3771.0,3771.0,3771.0,3771.0,1849.0,1849,1849,1849,1,,1849.0,1849.0,1849.0,1849.0,1849.0,831.0,831,831,831,1,,831.0,831.0,831.0,831.0,831.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","February, 2018",GSTR-3,7381.0,7381,7381,7381,1,,7381.0,7381.0,7381.0,7381.0,7381.0,2406.0,2406,2406,2406,1,,2406.0,2406.0,2406.0,2406.0,2406.0,3848.0,3848,3848,3848,1,,3848.0,3848.0,3848.0,3848.0,3848.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","March, 2018",GSTR-1,8072.0,8072,8072,8072,1,,8072.0,8072.0,8072.0,8072.0,8072.0,3574.0,3574,3574,3574,1,,3574.0,3574.0,3574.0,3574.0,3574.0,2517.0,2517,2517,2517,1,,2517.0,2517.0,2517.0,2517.0,2517.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2017","March, 2018",GSTR-3,8072.0,8072,8072,8072,1,,8072.0,8072.0,8072.0,8072.0,8072.0,2292.0,2292,2292,2292,1,,2292.0,2292.0,2292.0,2292.0,2292.0,4467.0,4467,4467,4467,1,,4467.0,4467.0,4467.0,4467.0,4467.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","April, 2018",GSTR-1,6115.0,6115,6115,6115,1,,6115.0,6115.0,6115.0,6115.0,6115.0,1680.0,1680,1680,1680,1,,1680.0,1680.0,1680.0,1680.0,1680.0,1110.0,1110,1110,1110,1,,1110.0,1110.0,1110.0,1110.0,1110.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","April, 2018",GSTR-3,8478.0,8478,8478,8478,1,,8478.0,8478.0,8478.0,8478.0,8478.0,1756.0,1756,1756,1756,1,,1756.0,1756.0,1756.0,1756.0,1756.0,5271.0,5271,5271,5271,1,,5271.0,5271.0,5271.0,5271.0,5271.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","May, 2018",GSTR-1,6221.0,6221,6221,6221,1,,6221.0,6221.0,6221.0,6221.0,6221.0,1660.0,1660,1660,1660,1,,1660.0,1660.0,1660.0,1660.0,1660.0,1196.0,1196,1196,1196,1,,1196.0,1196.0,1196.0,1196.0,1196.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","May, 2018",GSTR-3,8658.0,8658,8658,8658,1,,8658.0,8658.0,8658.0,8658.0,8658.0,2591.0,2591,2591,2591,1,,2591.0,2591.0,2591.0,2591.0,2591.0,4620.0,4620,4620,4620,1,,4620.0,4620.0,4620.0,4620.0,4620.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","June, 2018",GSTR-1,9000.0,9000,9000,9000,1,,9000.0,9000.0,9000.0,9000.0,9000.0,3350.0,3350,3350,3350,1,,3350.0,3350.0,3350.0,3350.0,3350.0,3270.0,3270,3270,3270,1,,3270.0,3270.0,3270.0,3270.0,3270.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","June, 2018",GSTR-3,9000.0,9000,9000,9000,1,,9000.0,9000.0,9000.0,9000.0,9000.0,2698.0,2698,2698,2698,1,,2698.0,2698.0,2698.0,2698.0,2698.0,4649.0,4649,4649,4649,1,,4649.0,4649.0,4649.0,4649.0,4649.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","July, 2018",GSTR-1,6296.0,6296,6296,6296,1,,6296.0,6296.0,6296.0,6296.0,6296.0,1506.0,1506,1506,1506,1,,1506.0,1506.0,1506.0,1506.0,1506.0,1422.0,1422,1422,1422,1,,1422.0,1422.0,1422.0,1422.0,1422.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","July, 2018",GSTR-3,9200.0,9200,9200,9200,1,,9200.0,9200.0,9200.0,9200.0,9200.0,3260.0,3260,3260,3260,1,,3260.0,3260.0,3260.0,3260.0,3260.0,4213.0,4213,4213,4213,1,,4213.0,4213.0,4213.0,4213.0,4213.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","August, 2018",GSTR-1,6159.0,6159,6159,6159,1,,6159.0,6159.0,6159.0,6159.0,6159.0,1312.0,1312,1312,1312,1,,1312.0,1312.0,1312.0,1312.0,1312.0,1649.0,1649,1649,1649,1,,1649.0,1649.0,1649.0,1649.0,1649.0
India,Arunachal Pradesh,12,"Financial Year (Apr - Mar), 2018","August, 2018",GSTR-3,9390.0,9390,9390,9390,1,,9390.0,9390.0,9390.0,9390.0,9390.0,2915.0,2915,2915,2915,1,,2915.0,2915.0,2915.0,2915.0,2915.0,4691.0,4691,4691,4691,1,,4691.0,4691.0,4691.0,4691.0,4691.0
