,state,date,Settlement of Integrated goods and services tax ( IGST )
2045,ladakh,2020-11-01,14.624532567
2046,ladakh,2020-12-01,21.983008978
2047,ladakh,2021-01-01,12.598902528
2048,ladakh,2021-02-01,6.143815317
2049,ladakh,2021-03-01,4.001909864
2050,ladakh,2021-04-01,9.551018378
2051,ladakh,2021-05-01,2.996165591
2052,ladakh,2021-06-01,12.091889047
2053,ladakh,2021-07-01,29.535885944
2054,ladakh,2021-08-01,24.786702145
2055,ladakh,2021-09-01,25.052803065
2056,ladakh,2021-10-01,38.015018146
2057,ladakh,2021-11-01,30.024390599
2058,ladakh,2021-12-01,17.354842466
2059,ladakh,2022-01-01,19.578151161
2060,ladakh,2022-02-01,10.255114725
2061,ladakh,2022-03-01,7.572470268
2062,ladakh,2022-04-01,19.932712651
2063,ladakh,2022-05-01,14.623987982
2064,ladakh,2022-06-01,27.01026771
2065,the dadra and nagar haveli and daman and diu,2017-08-01,9.774893
2066,the dadra and nagar haveli and daman and diu,2017-09-01,10.7561221
2067,the dadra and nagar haveli and daman and diu,2017-10-01,2.19163929
2068,the dadra and nagar haveli and daman and diu,2017-11-01,19.2257585
2069,the dadra and nagar haveli and daman and diu,2017-12-01,9.5572789
2070,the dadra and nagar haveli and daman and diu,2018-01-01,21.1469026
2071,the dadra and nagar haveli and daman and diu,2018-02-01,15.5281445
2072,the dadra and nagar haveli and daman and diu,2018-03-01,5.962896
2073,the dadra and nagar haveli and daman and diu,2018-04-01,3.3056265
2074,the dadra and nagar haveli and daman and diu,2018-05-01,-1.858896
2075,the dadra and nagar haveli and daman and diu,2018-06-01,14.6225804
2076,the dadra and nagar haveli and daman and diu,2018-07-01,-2.192358
2077,the dadra and nagar haveli and daman and diu,2018-08-01,11.790509706
2078,the dadra and nagar haveli and daman and diu,2018-09-01,-1.4779312
2079,the dadra and nagar haveli and daman and diu,2018-10-01,17.7075608
2080,the dadra and nagar haveli and daman and diu,2018-11-01,5.0936708
2081,the dadra and nagar haveli and daman and diu,2018-12-01,3.4078163
2082,the dadra and nagar haveli and daman and diu,2019-01-01,-12.0308567
2083,the dadra and nagar haveli and daman and diu,2019-02-01,0.036757829
2084,the dadra and nagar haveli and daman and diu,2019-03-01,1.6985701
2085,the dadra and nagar haveli and daman and diu,2019-04-01,10.8471958
2086,the dadra and nagar haveli and daman and diu,2019-05-01,-2.9275973
2087,the dadra and nagar haveli and daman and diu,2019-06-01,-13.7085859
2088,the dadra and nagar haveli and daman and diu,2019-07-01,16.4524306
2089,the dadra and nagar haveli and daman and diu,2019-08-01,15.856379394
2090,the dadra and nagar haveli and daman and diu,2019-09-01,32.2254571
2091,the dadra and nagar haveli and daman and diu,2019-10-01,9.1232496
2092,the dadra and nagar haveli and daman and diu,2019-11-01,16.7582805
2093,the dadra and nagar haveli and daman and diu,2019-12-01,7.0
2094,the dadra and nagar haveli and daman and diu,2020-01-01,10.0
2095,the dadra and nagar haveli and daman and diu,2020-02-01,15.2
2096,the dadra and nagar haveli and daman and diu,2020-03-01,10.3603927
2097,the dadra and nagar haveli and daman and diu,2020-04-01,12.55
2098,the dadra and nagar haveli and daman and diu,2020-05-01,10.78
2099,the dadra and nagar haveli and daman and diu,2020-06-01,4.1
2100,the dadra and nagar haveli and daman and diu,2020-07-01,5.460934819
2101,the dadra and nagar haveli and daman and diu,2020-08-01,3.123772103
2102,the dadra and nagar haveli and daman and diu,2020-09-01,34.685345391
2103,the dadra and nagar haveli and daman and diu,2020-10-01,11.727105711
2104,the dadra and nagar haveli and daman and diu,2020-11-01,3.23373863
2105,the dadra and nagar haveli and daman and diu,2020-12-01,7.183834985
2106,the dadra and nagar haveli and daman and diu,2021-01-01,19.393367136
2107,the dadra and nagar haveli and daman and diu,2021-02-01,37.893504102
2108,the dadra and nagar haveli and daman and diu,2021-03-01,-1.710396994
2109,the dadra and nagar haveli and daman and diu,2021-04-01,37.27073985
2110,the dadra and nagar haveli and daman and diu,2021-05-01,-2.401376674
2111,the dadra and nagar haveli and daman and diu,2021-06-01,17.061716085
2112,the dadra and nagar haveli and daman and diu,2021-07-01,41.260046557
2113,the dadra and nagar haveli and daman and diu,2021-08-01,59.206729333
2114,the dadra and nagar haveli and daman and diu,2021-09-01,78.120995852
2115,the dadra and nagar haveli and daman and diu,2021-10-01,23.630076478
2116,the dadra and nagar haveli and daman and diu,2021-11-01,24.903770387
2117,the dadra and nagar haveli and daman and diu,2021-12-01,22.782049366
2118,the dadra and nagar haveli and daman and diu,2022-01-01,13.69600839
2119,the dadra and nagar haveli and daman and diu,2022-02-01,36.365184627
2120,the dadra and nagar haveli and daman and diu,2022-03-01,79.902823054
2121,the dadra and nagar haveli and daman and diu,2022-04-01,55.222938202
2122,the dadra and nagar haveli and daman and diu,2022-05-01,45.330815986
2123,the dadra and nagar haveli and daman and diu,2022-06-01,-19.675713105
